text,label
"На стадионе прошёл футбольный матч между двумя командами",спорт
"Теннисист выиграл турнир в трёх сетах подряд",спорт
"Баскетбольная команда набрала рекордное число очков за четверть",спорт
"Хоккеисты вышли в плей-офф после серии побед",спорт
"Легкоатлет установил новый рекорд на дистанции сто метров",спорт
"Парламент обсудил проект бюджета на следующий год",политика
"Министр выступил с заявлением о реформе образования",политика
"Оппозиция критикует правительство за экономическую политику",политика
"Международная встреча лидеров прошла в закрытом формате",политика
"Выборы в региональную думу назначили на осень",политика
"Нейросеть обучается на большом корпусе текстовых данных",технологии
"Разработчики выпустили обновление с улучшенной безопасностью",технологии
"Облачное хранилище синхронизирует файлы между устройствами",технологии
"Алгоритм сжатия уменьшает размер файлов без потери качества",технологии
"База данных индексирует миллионы записей за секунды",технологии
